grid size,level,time,expended nodes,algorithm
5,1,0.0019109249,77,BFS
5,2,0.0012321472,58,BFS
5,3,0.00088596344,26,BFS
5,4,0.0011730194,49,BFS
5,5,0.0033671856,172,BFS
5,6,0.0022120476,106,BFS
5,7,0.0010738373,47,BFS
5,8,0.001308918,49,BFS
5,9,0.0009419918,46,BFS
5,10,0.00078725815,34,BFS
5,1,0.00061917305,20,DFS
5,2,0.0011219978,48,DFS
5,3,0.00082302094,23,DFS
5,4,0.0016059875,72,DFS
5,5,0.0042431355,185,DFS
5,6,0.00078320503,33,DFS
5,7,0.0006418228,23,DFS
5,8,0.0007753372,22,DFS
5,9,0.0006451607,22,DFS
5,10,0.0006289482,24,DFS
5,1,0.0019221306,82,UCS
5,2,0.0011136532,46,UCS
5,3,0.001021862,26,UCS
5,4,0.0018360615,72,UCS
5,5,0.0041439533,212,UCS
5,6,0.0019581318,91,UCS
5,7,0.001087904,47,UCS
5,8,0.0012168884,47,UCS
5,9,0.001075983,46,UCS
5,10,0.00082206726,34,UCS
5,1,0.0011181831,24,A*
5,2,0.0009689331,23,A*
5,3,0.0010728836,22,A*
5,4,0.0013120174,29,A*
5,5,0.0010921955,26,A*
5,6,0.00093889236,21,A*
5,7,0.000980854,22,A*
5,8,0.0015778542,32,A*
5,9,0.0010271072,24,A*
5,10,0.0009250641,22,A*
6,1,0.009019852,289,BFS
6,2,0.0070006847,275,BFS
6,3,0.00402689,146,BFS
6,4,0.018163204,700,BFS
6,5,0.006460905,235,BFS
6,6,0.005022049,174,BFS
6,7,0.05175805,2149,BFS
6,8,0.03949189,1237,BFS
6,9,0.026717901,1165,BFS
6,10,0.0017678738,55,BFS
6,1,0.0037670135,115,DFS
6,2,0.0068557262,270,DFS
6,3,0.0049390793,184,DFS
6,4,0.0025532246,92,DFS
6,5,0.010061979,373,DFS
6,6,0.001606226,42,DFS
6,7,0.038120985,1621,DFS
6,8,0.039759874,1566,DFS
6,9,0.0011310577,33,DFS
6,10,0.0012698174,32,DFS
6,1,0.007910967,244,UCS
6,2,0.007290125,277,UCS
6,3,0.0045621395,166,UCS
6,4,0.016794205,637,UCS
6,5,0.0104420185,383,UCS
6,6,0.005320072,174,UCS
6,7,0.052226067,1742,UCS
6,8,0.040045023,1472,UCS
6,9,0.025547028,1056,UCS
6,10,0.0017650127,55,UCS
6,1,0.0019412041,31,A*
6,2,0.0025627613,47,A*
6,3,0.0019388199,32,A*
6,4,0.00716424,138,A*
6,5,0.002849102,57,A*
6,6,0.0020589828,32,A*
6,7,0.011643887,224,A*
6,8,0.0039641857,70,A*
6,9,0.0096998215,200,A*
6,10,0.002156973,36,A*
7,1,0.17192125,4629,BFS
7,2,1.192245,34007,BFS
7,3,0.22814322,5295,BFS
7,4,0.3630581,8926,BFS
7,5,0.42553496,11350,BFS
7,6,0.0053088665,157,BFS
7,7,0.95505285,28804,BFS
7,8,0.9286821,24050,BFS
7,9,0.015267134,527,BFS
7,10,0.026073217,800,BFS
7,1,0.25792527,7212,DFS
7,2,0.05573821,2112,DFS
7,3,0.05440998,1500,DFS
7,4,0.19200706,5027,DFS
7,5,0.3806541,11350,DFS
7,6,0.0039100647,112,DFS
7,7,1.333741,44249,DFS
7,8,0.41294074,12244,DFS
7,9,0.0072159767,249,DFS
7,10,0.013217211,387,DFS
7,1,0.18034792,4762,UCS
7,2,1.186666,31638,UCS
7,3,0.15611601,4111,UCS
7,4,0.39489007,9518,UCS
7,5,0.29934502,8571,UCS
7,6,0.0050661564,155,UCS
7,7,1.206217,34402,UCS
7,8,0.8678951,22212,UCS
7,9,0.013285875,448,UCS
7,10,0.021245956,616,UCS
7,1,0.017642021,227,A*
7,2,0.014033079,212,A*
7,3,0.008497953,123,A*
7,4,0.06714702,757,A*
7,5,0.06622481,988,A*
7,6,0.003492117,50,A*
7,7,1.4098179,25217,A*
7,8,0.07672882,1076,A*
7,9,0.0031621456,43,A*
7,10,0.0036661625,45,A*
8,1,182.18208,1506391,BFS
8,2,161.39334,1930945,BFS
8,3,182.05739,1450287,BFS
8,4,5.4600706,137284,BFS
8,5,181.58131,1082258,BFS
8,6,136.84274,1776739,BFS
8,7,25.996468,423565,BFS
8,8,14.977105,259299,BFS
8,9,154.92065,1934307,BFS
8,10,181.71632,1153389,BFS
8,1,26.875008,737162,DFS
8,2,4.831038,155545,DFS
8,3,219.06728,4694584,DFS
8,4,17.022005,466068,DFS
8,5,221.35216,4750289,DFS
8,6,19.144432,609942,DFS
8,7,25.885963,642402,DFS
8,8,12.53087,281289,DFS
8,9,6.015026,176980,DFS
8,10,220.12659,4478075,DFS
8,1,66.28312,1174351,UCS
8,2,82.13415,1570953,UCS
8,3,212.55052,3085093,UCS
8,4,10.431676,249889,UCS
8,5,193.04448,2712579,UCS
8,6,84.9857,1634207,UCS
8,7,19.820436,370907,UCS
8,8,14.034348,244539,UCS
8,9,86.48961,1692467,UCS
8,10,199.29271,2712296,UCS
8,1,6.8253317,77813,A*
8,2,9.432887,127000,A*
8,3,0.28755522,4011,A*
8,4,0.07874799,984,A*
8,5,3.3325512,42432,A*
8,6,0.7426088,9640,A*
8,7,0.09019184,1058,A*
8,8,0.09962273,1354,A*
8,9,27.841108,373264,A*
8,10,0.41147995,4858,A*
9,1,123.353546,1685028,BFS
9,2,181.66797,831975,BFS
9,3,182.19417,1199204,BFS
9,4,181.6313,890152,BFS
9,5,182.00479,1037077,BFS
9,6,182.33598,1335988,BFS
9,7,182.03316,1232951,BFS
9,8,181.4367,771624,BFS
9,9,181.5055,853020,BFS
9,10,181.76857,1095683,BFS
9,1,246.12564,4804850,DFS
9,2,210.87799,3506295,DFS
9,3,28.736046,631316,DFS
9,4,225.88783,3936332,DFS
9,5,77.08627,1890517,DFS
9,6,10.996134,236996,DFS
9,7,219.89525,3901605,DFS
9,8,233.20616,4255892,DFS
9,9,236.76003,4518483,DFS
9,10,218.50157,3805905,DFS
9,1,216.73332,3627448,UCS
9,2,197.74168,2325640,UCS
9,3,186.19585,2555307,UCS
9,4,200.02396,2483646,UCS
9,5,189.01895,2656210,UCS
9,6,81.62633,1263125,UCS
9,7,186.84515,2678615,UCS
9,8,198.0724,2215955,UCS
9,9,201.3265,2360776,UCS
9,10,187.93384,2507091,UCS
9,1,4.0330057,50293,A*
9,2,91.28482,914668,A*
9,3,5.0236907,49901,A*
9,4,48.895817,516891,A*
9,5,10.081163,100249,A*
9,6,0.5791769,5138,A*
9,7,8.038139,70344,A*
9,8,134.26312,1357749,A*
9,9,191.90968,1959765,A*
9,10,7.831889,79950,A*
10,1,181.71524,910792,BFS
10,2,181.75055,823595,BFS
10,3,181.38606,668486,BFS
10,4,183.6122,829213,BFS
10,5,182.99045,1082501,BFS
10,6,181.91618,939915,BFS
10,7,181.97006,774139,BFS
10,8,181.45683,662883,BFS
10,9,181.79068,772895,BFS
10,10,181.39728,652889,BFS
10,1,225.61563,2951612,DFS
10,2,252.42384,4271345,DFS
10,3,242.47134,3439039,DFS
10,4,224.7991,3089928,DFS
10,5,209.84262,2962718,DFS
10,6,194.89682,2638264,DFS
10,7,208.42693,3152448,DFS
10,8,194.98813,3148812,DFS
10,9,207.90952,3599073,DFS
10,10,206.78506,3378597,DFS
10,1,195.2366,2097503,UCS
10,2,187.41893,1863253,UCS
10,3,191.49965,1858147,UCS
10,4,205.6611,2092017,UCS
10,5,184.07867,2064337,UCS
10,6,184.33038,2011594,UCS
10,7,192.1524,1955725,UCS
10,8,190.32277,2021551,UCS
10,9,189.17683,2148677,UCS
10,10,194.21385,1847592,UCS
10,1,3.923641,40952,A*
10,2,16.096872,172571,A*
10,3,183.22505,1480394,A*
10,4,183.57167,1559306,A*
10,5,7.401159,62095,A*
10,6,126.146194,1095106,A*
10,7,16.37772,160030,A*
10,8,128.93857,1190483,A*
10,9,184.00156,1469217,A*
10,10,183.7704,1543144,A*
